Disorder,Intermediate,Symptom,Chapter
Abstinence From Caffeine,Actions Towards Caffeine Use,Abrupt Cessation Of Caffeine Use,Substance Disorder
Abstinence From Caffeine,Actions Towards Caffeine Use,Abrupt Reduction Of Caffeine Use,Substance Disorder
Abstinence From Caffeine,Caffeine Use Symptoms,Headaches,Substance Disorder
Abstinence From Caffeine,Caffeine Use Symptoms,Fatigue,Substance Disorder
Abstinence From Caffeine,Caffeine Use Symptoms,Somnolence,Substance Disorder
Abstinence From Caffeine,Caffeine Use Symptoms,Dysphoric Mood,Substance Disorder
Abstinence From Caffeine,Caffeine Use Symptoms,Depressed Mood,Substance Disorder
Abstinence From Caffeine,Caffeine Use Symptoms,Irritability,Substance Disorder
Abstinence From Caffeine,Caffeine Use Symptoms,Concentration Difficulties,Substance Disorder
Abstinence From Caffeine,Caffeine Use Symptoms,Nausea,Substance Disorder
Abstinence From Caffeine,Caffeine Use Symptoms,Vomiting,Substance Disorder
Abstinence From Caffeine,Caffeine Use Symptoms,Muscle Pain,Substance Disorder
Cannabis Use Disorder,Cannabis Use Disorder,Problematic Pattern Of Cannabis Use,Substance Disorder
Cannabis Use Disorder,Problematic Pattern Of Cannabis Use,Consumption Of Cannabis In Larger Quantities,Substance Disorder
Cannabis Use Disorder,Problematic Pattern Of Cannabis Use,Desire To Decrease/Control Cannabis Use,Substance Disorder
Cannabis Use Disorder,Problematic Pattern Of Cannabis Use,Unsuccessful Efforts To Decrease/Control Cannabis Use,Substance Disorder
Cannabis Use Disorder,Problematic Pattern Of Cannabis Use,Large Amount Of Time In Obtaining/Use/Recovering From Cannabis Consumption,Substance Disorder
Cannabis Use Disorder,Problematic Pattern Of Cannabis Use,Strong Desire/Urge For Cannabis,Substance Disorder
Cannabis Use Disorder,Problematic Pattern Of Cannabis Use,Inability To Meet Work/School/Home Obligations,Substance Disorder
Cannabis Use Disorder,Problematic Pattern Of Cannabis Use,Cannabis Use Is Continued Despite Knowing To Have A Persistent/Recurring Social/Interpersonal Problem,Substance Disorder
Cannabis Use Disorder,Problematic Pattern Of Cannabis Use,Decreased Participation In Social/Occupational/Recreational Activities,Substance Disorder
Cannabis Use Disorder,Problematic Pattern Of Cannabis Use,Cannabis Use In Dangerous Situations,Substance Disorder
Cannabis Use Disorder,Problematic Pattern Of Cannabis Use,Cannabis Use Is Continued Despite Knowing To Have A Persistent/Recurring Physical/Psychological Problem,Substance Disorder
Cannabis Use Disorder,Problematic Pattern Of Cannabis Use,Increased Need For Cannabis To Achieve Intoxication,Substance Disorder
Cannabis Use Disorder,Problematic Pattern Of Cannabis Use,Decreased Effect With Continued Use Of The Same Amount Of Cannabis,Substance Disorder
Cannabis Use Disorder,Problematic Pattern Of Cannabis Use,Abstinence From Cannabis,Substance Disorder
Cannabis Use Disorder,Problematic Pattern Of Cannabis Use,Cannabis Use To Relieve/Avoid Withdrawal Symptoms,Substance Disorder
Cannabis Intoxication,Cannabis Intoxication,Recent Cannabis Consumption,Substance Disorder
Cannabis Intoxication,Cannabis Intoxication,Attitudes/Behaviors,Substance Disorder
Cannabis Intoxication,Cannabis Intoxication,Cannabis Use Symptoms,Substance Disorder
Cannabis Intoxication,Attitudes/Behaviors,Motor Coordination Deficit,Substance Disorder
Cannabis Intoxication,Attitudes/Behaviors,Euphoria,Substance Disorder
Cannabis Intoxication,Attitudes/Behaviors,Anxiety,Substance Disorder
Cannabis Intoxication,Attitudes/Behaviors,Feeling Of Time Slowing Down,Substance Disorder
Cannabis Intoxication,Attitudes/Behaviors,Social Isolation,Substance Disorder
Cannabis Intoxication,Cannabis Use Symptoms,Conjunctivitis,Substance Disorder
Cannabis Intoxication,Cannabis Use Symptoms,Changes In Appetite,Substance Disorder
Cannabis Intoxication,Changes In Appetite,Increase In Appetite,Substance Disorder
Cannabis Intoxication,Cannabis Use Symptoms,Dry Mouth,Substance Disorder
Cannabis Intoxication,Cannabis Use Symptoms,Tachycardia,Substance Disorder
Abstinence From Cannabis,Abstinence From Cannabis,Cessation Of Cannabis Use,Substance Disorder
Abstinence From Cannabis,Abstinence From Cannabis,Cannabis Cessation Symptoms,Substance Disorder
Abstinence From Cannabis,Cannabis Cessation Symptoms,Irritability,Substance Disorder
Abstinence From Cannabis,Cannabis Cessation Symptoms,Anger,Substance Disorder
Abstinence From Cannabis,Cannabis Cessation Symptoms,Aggression,Substance Disorder
Abstinence From Cannabis,Cannabis Cessation Symptoms,Nervousness,Substance Disorder
Abstinence From Cannabis,Cannabis Cessation Symptoms,Anxiety,Substance Disorder
Abstinence From Cannabis,Cannabis Cessation Symptoms,Sleep Changes,Substance Disorder
Abstinence From Cannabis,Sleep Changes,Insomnia,Substance Disorder
Abstinence From Cannabis,Cannabis Cessation Symptoms,Nightmares,Substance Disorder
Abstinence From Cannabis,Cannabis Cessation Symptoms,Changes In Appetite,Substance Disorder
Abstinence From Cannabis,Changes In Appetite,Decrease In Appetite,Substance Disorder
Abstinence From Cannabis,Cannabis Cessation Symptoms,Alterations In Appetite,Substance Disorder
Abstinence From Cannabis,Alterations In Appetite,Weight Loss,Substance Disorder
Abstinence From Cannabis,Cannabis Cessation Symptoms,Disquiet,Substance Disorder
Abstinence From Cannabis,Cannabis Cessation Symptoms,Depressed Mood,Substance Disorder
Abstinence From Cannabis,Cannabis Cessation Symptoms,Abdominal Alterations,Substance Disorder
Abstinence From Cannabis,Cannabis Cessation Symptoms,Tremors,Substance Disorder
Abstinence From Cannabis,Cannabis Cessation Symptoms,Sweating,Substance Disorder
Abstinence From Cannabis,Cannabis Cessation Symptoms,Fever,Substance Disorder
Abstinence From Cannabis,Cannabis Cessation Symptoms,Chills,Substance Disorder
Abstinence From Cannabis,Cannabis Cessation Symptoms,Headaches,Substance Disorder
Fenciclidine Use Disorder,Fenciclidine Use Disorder,Problematic Pattern Of Fenciclidine Use,Substance Disorder
Fenciclidine Use Disorder,Problematic Pattern Of Fenciclidine Use,Consumption Of Fenciclidine In Larger Quantities,Substance Disorder
Fenciclidine Use Disorder,Problematic Pattern Of Fenciclidine Use,Desire To Decrease/Continue Use Of Fenciclidine,Substance Disorder
Fenciclidine Use Disorder,Problematic Pattern Of Fenciclidine Use,Unsuccessful Efforts To Decrease/Control Fenciclidine Use,Substance Disorder
Fenciclidine Use Disorder,Problematic Pattern Of Fenciclidine Use,Large Amount Of Time In Obtaining/Use/Recovering From Fenciclidine Consumption,Substance Disorder
Fenciclidine Use Disorder,Problematic Pattern Of Fenciclidine Use,Strong Desire/Urge For Fenciclidine,Substance Disorder
Fenciclidine Use Disorder,Problematic Pattern Of Fenciclidine Use,Inability To Meet Work/School/Home Obligations,Substance Disorder
Fenciclidine Use Disorder,Problematic Pattern Of Fenciclidine Use,Fenciclidine Use Is Continued Despite Knowing To Have A Persistent/Recurring Social/Interpersonal Problem,Substance Disorder
Fenciclidine Use Disorder,Problematic Pattern Of Fenciclidine Use,Decreased Participation In Social/Occupational/Recreational Activities,Substance Disorder
Fenciclidine Use Disorder,Problematic Pattern Of Fenciclidine Use,Fenciclidine Use In Dangerous Situations,Substance Disorder
Fenciclidine Use Disorder,Problematic Pattern Of Fenciclidine Use,Fenciclidine Use Is Continued Despite Knowing To Have A Persistent/Recurring Psysical/Psychological Problem,Substance Disorder
Fenciclidine Use Disorder,Problematic Pattern Of Fenciclidine Use,Increased Need For Fenciclidine To Achieve Intoxication,Substance Disorder
Fenciclidine Use Disorder,Problematic Pattern Of Fenciclidine Use,Decreased Effect With Continued Use Of The Same Amount Of Fenciclidine,Substance Disorder
Use Disorder Of Other Hallucinogens,Use Disorder Of Other Hallucinogens,Problematic Pattern Of Other Hallucinogens Use,Substance Disorder
Use Disorder Of Other Hallucinogens,Problematic Pattern Of Other Hallucinogens Use,Consumption Of Hallucinogens In Larger Quantities,Substance Disorder
Use Disorder Of Other Hallucinogens,Problematic Pattern Of Other Hallucinogens Use,Desire To Decrease/Continue Use Of Hallucinogens,Substance Disorder
Use Disorder Of Other Hallucinogens,Problematic Pattern Of Other Hallucinogens Use,Desire To Avoid/Relieve Hallucinogenic Consumption,Substance Disorder
Use Disorder Of Other Hallucinogens,Problematic Pattern Of Other Hallucinogens Use,Unsuccessful Efforts To Decrease/Control The Use Of Hallucinogens,Substance Disorder
Use Disorder Of Other Hallucinogens,Problematic Pattern Of Other Hallucinogens Use,Large Amount Of Time In Obtaining/Use/Recovering From Hallucinogens Consumption,Substance Disorder
Use Disorder Of Other Hallucinogens,Problematic Pattern Of Other Hallucinogens Use,Strong Desire/Urge For Hallucinogens,Substance Disorder
Use Disorder Of Other Hallucinogens,Problematic Pattern Of Other Hallucinogens Use,Inability To Meet Work/School/Home Obligations,Substance Disorder
Use Disorder Of Other Hallucinogens,Problematic Pattern Of Other Hallucinogens Use,Continued Use Of Other Hallucinogens  Despite Knowing To Have A Persistent/Recurring Social/Interpersonal Problem,Substance Disorder
Use Disorder Of Other Hallucinogens,Problematic Pattern Of Other Hallucinogens Use,Continued Use Of Hallucinogens Despite Knowing Persistent/Recurring Psysical/Psychological Problems,Substance Disorder
Use Disorder Of Other Hallucinogens,Problematic Pattern Of Other Hallucinogens Use,Decreased Participation In Social/Occupational/Recreational Activities,Substance Disorder
Use Disorder Of Other Hallucinogens,Problematic Pattern Of Other Hallucinogens Use,Recurrent Use Of Hallucinogens In Dangerous Situations,Substance Disorder
Use Disorder Of Other Hallucinogens,Problematic Pattern Of Other Hallucinogens Use,Increased Need For Hallucinogens To Achieve Intoxication,Substance Disorder
Use Disorder Of Other Hallucinogens,Problematic Pattern Of Other Hallucinogens Use,Decreased Effect With Continued Use Of The Same Amount Of Other Hallucinogens,Substance Disorder
Fenciclidine Intoxication,Fenciclidine Intoxication,Recent Fenciclidine Consumption,Substance Disorder
Fenciclidine Intoxication,Fenciclidine Intoxication,Behaviors,Substance Disorder
Fenciclidine Intoxication,Fenciclidine Intoxication,Fenciclidine Use Symptoms,Substance Disorder
Fenciclidine Intoxication,Behaviors,Belligerence,Substance Disorder
Fenciclidine Intoxication,Behaviors,Aggression,Substance Disorder
Fenciclidine Intoxication,Behaviors,Impulsiveness,Substance Disorder
Fenciclidine Intoxication,Behaviors,Unpredictability,Substance Disorder
Fenciclidine Intoxication,Behaviors,Psychomotor Changes,Substance Disorder
Fenciclidine Intoxication,Psychomotor Changes,Psychomotor Agitation,Substance Disorder
Fenciclidine Intoxication,Behaviors,Motor Coordination Deficit,Substance Disorder
Fenciclidine Intoxication,Fenciclidine Use Symptoms,Nystagmus,Substance Disorder
Fenciclidine Intoxication,Fenciclidine Use Symptoms,Hypertension,Substance Disorder
Fenciclidine Intoxication,Fenciclidine Use Symptoms,Tachycardia,Substance Disorder
Fenciclidine Intoxication,Fenciclidine Use Symptoms,Diminished Responsiveness To Pain,Substance Disorder
Fenciclidine Intoxication,Fenciclidine Use Symptoms,Numbness,Substance Disorder
Fenciclidine Intoxication,Fenciclidine Use Symptoms,Ataxia,Substance Disorder
Fenciclidine Intoxication,Fenciclidine Use Symptoms,Dysarthria,Substance Disorder
Fenciclidine Intoxication,Fenciclidine Use Symptoms,Muscle Rigidity,Substance Disorder
Fenciclidine Intoxication,Fenciclidine Use Symptoms,Convulsions,Substance Disorder
Fenciclidine Intoxication,Fenciclidine Use Symptoms,Hyperacusis,Substance Disorder
Intoxication By Other Hallucinogens,Intoxication By Other Hallucinogens,Recent Hallucinogens Consumption,Substance Disorder
Intoxication By Other Hallucinogens,Intoxication By Other Hallucinogens,Attitudes/Behaviors,Substance Disorder
Intoxication By Other Hallucinogens,Intoxication By Other Hallucinogens,Perceptual Changes While Alert And Awake,Substance Disorder
Intoxication By Other Hallucinogens,Intoxication By Other Hallucinogens,Hallucinogen Use Signs,Substance Disorder
Intoxication By Other Hallucinogens,Attitudes/Behaviors,Anxiety,Substance Disorder
Intoxication By Other Hallucinogens,Attitudes/Behaviors,Depressed Mood,Substance Disorder
Intoxication By Other Hallucinogens,Attitudes/Behaviors,Reference Ideas,Substance Disorder
Intoxication By Other Hallucinogens,Attitudes/Behaviors,Fear Of Losing One's Mind,Substance Disorder
Intoxication By Other Hallucinogens,Attitudes/Behaviors,Paranoid Ideation,Substance Disorder
Intoxication By Other Hallucinogens,Attitudes/Behaviors,Motor Coordination Deficit,Substance Disorder
Intoxication By Other Hallucinogens,Perceptual Changes While Alert And Awake,State Of Vigilance And Alert,Substance Disorder
Intoxication By Other Hallucinogens,Perceptual Changes While Alert And Awake,Subjective Intensification Of Perceptions,Substance Disorder
Intoxication By Other Hallucinogens,Perceptual Changes While Alert And Awake,Depersonalization,Substance Disorder
Intoxication By Other Hallucinogens,Perceptual Changes While Alert And Awake,Derealization,Substance Disorder
Intoxication By Other Hallucinogens,Perceptual Changes While Alert And Awake,Ilusions,Substance Disorder
Intoxication By Other Hallucinogens,Perceptual Changes While Alert And Awake,Hallucinations,Substance Disorder
Intoxication By Other Hallucinogens,Perceptual Changes While Alert And Awake,Synaesthesia,Substance Disorder
Intoxication By Other Hallucinogens,Hallucinogen Use Signs,Pupillary Dilation,Substance Disorder
Intoxication By Other Hallucinogens,Hallucinogen Use Signs,Tachycardia,Substance Disorder
Intoxication By Other Hallucinogens,Hallucinogen Use Signs,Sudation,Substance Disorder
Intoxication By Other Hallucinogens,Hallucinogen Use Signs,Palpitations,Substance Disorder
Intoxication By Other Hallucinogens,Hallucinogen Use Signs,Blurred Vision,Substance Disorder
Intoxication By Other Hallucinogens,Hallucinogen Use Signs,Tremors,Substance Disorder
Intoxication By Other Hallucinogens,Hallucinogen Use Signs,Incoordination,Substance Disorder
Hallucinogen-Induced Persistent Disorder Of Perception,Hallucinogen-Induced Persistent Disorder Of Perception,Hallucinogen Cessation Symptoms,Substance Disorder
Hallucinogen-Induced Persistent Disorder Of Perception,Hallucinogen Cessation Symptoms,Geometric Hallucinations,Substance Disorder
Hallucinogen-Induced Persistent Disorder Of Perception,Hallucinogen Cessation Symptoms,False Movement Perceptions,Substance Disorder
Hallucinogen-Induced Persistent Disorder Of Perception,Hallucinogen Cessation Symptoms,Flashes Of Color,Substance Disorder
Hallucinogen-Induced Persistent Disorder Of Perception,Hallucinogen Cessation Symptoms,Intensified Colors,Substance Disorder
Hallucinogen-Induced Persistent Disorder Of Perception,Hallucinogen Cessation Symptoms,Image Trails Of Moving Objects,Substance Disorder
Hallucinogen-Induced Persistent Disorder Of Perception,Hallucinogen Cessation Symptoms,Positive Residual Images,Substance Disorder
Hallucinogen-Induced Persistent Disorder Of Perception,Hallucinogen Cessation Symptoms,Halos Around Objects,Substance Disorder
Hallucinogen-Induced Persistent Disorder Of Perception,Hallucinogen Cessation Symptoms,Macropsy,Substance Disorder
Hallucinogen-Induced Persistent Disorder Of Perception,Hallucinogen Cessation Symptoms,Micropsia,Substance Disorder
Inhalant Use Disorder,Inhalant Use Disorder,Problematic Pattern Of Inhalants Use,Substance Disorder
Inhalant Use Disorder,Problematic Pattern Of Inhalants Use,Consumption Of Inhalants In Larger Quantities,Substance Disorder
Inhalant Use Disorder,Problematic Pattern Of Inhalants Use,Desire To Decrease/Control The Use Of Inhalants,Substance Disorder
Inhalant Use Disorder,Problematic Pattern Of Inhalants Use,Unsuccessful Efforts To Decrease/Control The Use Of Inhalants,Substance Disorder
Inhalant Use Disorder,Problematic Pattern Of Inhalants Use,Large Amount Of Time In Obtaining/Use/Recovering From Inhalants Consumption,Substance Disorder
Inhalant Use Disorder,Problematic Pattern Of Inhalants Use,Strong Desire/Drive For Inhalants,Substance Disorder
Inhalant Use Disorder,Problematic Pattern Of Inhalants Use,Inability To Meet Work/School/Home Obligations,Substance Disorder
Inhalant Use Disorder,Problematic Pattern Of Inhalants Use,Continued Use Of Inhalants Despite Knowing They Have Persistent/Recurring Social/Interpersonal Problems,Substance Disorder
Inhalant Use Disorder,Problematic Pattern Of Inhalants Use,Decreased Participation In Social/Occupational/Recreational Activities,Substance Disorder
Inhalant Use Disorder,Problematic Pattern Of Inhalants Use,Use Of Inhalants In Dangerous Situations,Substance Disorder
Inhalant Use Disorder,Problematic Pattern Of Inhalants Use,Continued Use Of Inhalants Despite Knowing They Have Persistent/Recurring Psychical/Psychological Problems,Substance Disorder
Inhalant Use Disorder,Problematic Pattern Of Inhalants Use,Increased Need For Inhalants To Achieve Intoxication,Substance Disorder
Inhalant Use Disorder,Problematic Pattern Of Inhalants Use,Decreased Effect With Continued Use Of The Same Amount Of Inhalants,Substance Disorder
Inhalant Intoxication,Inhalant Intoxication,Exposure To Toluene/Gasoline,Substance Disorder
Inhalant Intoxication,Inhalant Intoxication,Attitudes/Behaviors,Substance Disorder
Inhalant Intoxication,Inhalant Intoxication,Inhalant Use Symptoms,Substance Disorder
Inhalant Intoxication,Attitudes/Behaviors,Belligerence,Substance Disorder
Inhalant Intoxication,Attitudes/Behaviors,Aggression,Substance Disorder
Inhalant Intoxication,Attitudes/Behaviors,Apathy,Substance Disorder
Inhalant Intoxication,Attitudes/Behaviors,Impaired Judgment,Substance Disorder
Inhalant Intoxication,Inhalant Use Symptoms,Dizziness,Substance Disorder
Inhalant Intoxication,Inhalant Use Symptoms,Alterations In Movement,Substance Disorder
Inhalant Intoxication,Alterations In Movement,Nystagmus,Substance Disorder
Inhalant Intoxication,Alterations In Movement,Incoordination,Substance Disorder
Inhalant Intoxication,Inhalant Use Symptoms,Slurred Speech,Substance Disorder
Inhalant Intoxication,Alterations In Movement,Unstable Gait,Substance Disorder
Inhalant Intoxication,Inhalant Use Symptoms,Lethargy,Substance Disorder
Inhalant Intoxication,Inhalant Use Symptoms,Reduced Relfex,Substance Disorder
Inhalant Intoxication,Inhalant Use Symptoms,Psychomotor Changes,Substance Disorder
Inhalant Intoxication,Psychomotor Changes,Retardation,Substance Disorder
Inhalant Intoxication,Inhalant Use Symptoms,Tremors,Substance Disorder
Inhalant Intoxication,Inhalant Use Symptoms,Muscle Pain,Substance Disorder
Inhalant Intoxication,Inhalant Use Symptoms,Blurred Vision,Substance Disorder
Inhalant Intoxication,Inhalant Use Symptoms,Diplopia,Substance Disorder
Inhalant Intoxication,Inhalant Use Symptoms,Numbness,Substance Disorder
Inhalant Intoxication,Inhalant Use Symptoms,Euphoria,Substance Disorder
Opioid Use Disorder,Opioid Use Disorder,Problematic Pattern Of Opioid Use,Substance Disorder
Opioid Use Disorder,Problematic Pattern Of Opioid Use,Consumption Of Opioids In Larger Quantities,Substance Disorder
Opioid Use Disorder,Problematic Pattern Of Opioid Use,Desire To Decrease/Control Opioid Consumption,Substance Disorder
Opioid Use Disorder,Problematic Pattern Of Opioid Use,Unsuccessful Efforts To Decrease/Control Opioid Use,Substance Disorder
Opioid Use Disorder,Problematic Pattern Of Opioid Use,Large Amount Of Time In Obtaining/Use/Recovering From Opioids Consumption,Substance Disorder
Opioid Use Disorder,Problematic Pattern Of Opioid Use,Strong Desire/Drive For Opioids,Substance Disorder
Opioid Use Disorder,Problematic Pattern Of Opioid Use,Inability To Meet Work/School/Home Obligations,Substance Disorder
Opioid Use Disorder,Problematic Pattern Of Opioid Use,Continued Use Of Opioid Abuse Despite Knowing To Have Persistent/Recurring Social/Interpersonal Problems,Substance Disorder
Opioid Use Disorder,Problematic Pattern Of Opioid Use,Decreased Participation In Social/Occupational/Recreational Activities,Substance Disorder
Opioid Use Disorder,Problematic Pattern Of Opioid Use,Recurrent Use Of Opioids In Dangerous Situations,Substance Disorder
Opioid Use Disorder,Problematic Pattern Of Opioid Use,Continued Use Of Opioids Despite Knowing They Have A Persistent Physical/Psychological Problem,Substance Disorder
Opioid Use Disorder,Problematic Pattern Of Opioid Use,Increased Need For Opioids To Achieve Intoxication,Substance Disorder
Opioid Use Disorder,Problematic Pattern Of Opioid Use,Decreased Effect With Continued Use Of The Same Amount Of Opioids,Substance Disorder
Opioids Intoxication,Opioids Intoxication,Recent Opioids Consumption,Substance Disorder
Opioids Intoxication,Opioids Intoxication,Attitudes/Behaviors,Substance Disorder
Opioids Intoxication,Attitudes/Behaviors,Euphoria,Substance Disorder
Opioids Intoxication,Attitudes/Behaviors,Apathy,Substance Disorder
Opioids Intoxication,Attitudes/Behaviors,Dysphoric Mood,Substance Disorder
Opioids Intoxication,Attitudes/Behaviors,Psychomotor Changes,Substance Disorder
Opioids Intoxication,Psychomotor Changes,Psychomotor Agitation,Substance Disorder
Opioids Intoxication,Psychomotor Changes,Retardation,Substance Disorder
Opioids Intoxication,Attitudes/Behaviors,Impaired Judgment,Substance Disorder
Opioids Intoxication,Opioids Intoxication,Pupilary Constriction,Substance Disorder
Opioids Intoxication,Opioids Intoxication,Pupillary Dilation,Substance Disorder
Opioids Intoxication,Opioids Use Symptoms,Drowsiness,Substance Disorder
Opioids Intoxication,Opioids Use Symptoms,Numbness,Substance Disorder
Opioids Intoxication,Opioids Use Symptoms,Slurred Speech,Substance Disorder
Opioids Intoxication,Opioids Use Symptoms,Attention/Memory Deficit,Substance Disorder
Abstinence From Opioid,Abstinence From Opioid,Actions Towards Opioid Use,Substance Disorder
Abstinence From Opioid,Abstinence From Opioid,Opioids Cessation/Reduction Symptoms,Substance Disorder
Abstinence From Opioid,Actions Towards Opioid Use,Cessation Of Heavy And Prolonged Opioid Use,Substance Disorder
Abstinence From Opioid,Actions Towards Opioid Use,Reduction Of Heavy And Prolonged Opioid Use,Substance Disorder
Abstinence From Opioid,Actions Towards Opioid Use,Administration Of Opioid Antagonist After Period Of Opioid Use,Substance Disorder
Abstinence From Opioid,Opioids Cessation/Reduction Symptoms,Dysphoric Mood,Substance Disorder
Abstinence From Opioid,Opioids Cessation/Reduction Symptoms,Nausea,Substance Disorder
Abstinence From Opioid,Opioids Cessation/Reduction Symptoms,Vomiting,Substance Disorder
Abstinence From Opioid,Opioids Cessation/Reduction Symptoms,Muscle Pain,Substance Disorder
Abstinence From Opioid,Opioids Cessation/Reduction Symptoms,Tearful,Substance Disorder
Abstinence From Opioid,Opioids Cessation/Reduction Symptoms,Rhinorrhea,Substance Disorder
Abstinence From Opioid,Opioids Cessation/Reduction Symptoms,Pupillary Dilation,Substance Disorder
Abstinence From Opioid,Opioids Cessation/Reduction Symptoms,Piloerection,Substance Disorder
Abstinence From Opioid,Opioids Cessation/Reduction Symptoms,Sweating,Substance Disorder
Abstinence From Opioid,Opioids Cessation/Reduction Symptoms,Diarrhea,Substance Disorder
Abstinence From Opioid,Opioids Cessation/Reduction Symptoms,Yawn,Substance Disorder
Abstinence From Opioid,Opioids Cessation/Reduction Symptoms,Fever,Substance Disorder
Abstinence From Opioid,Opioids Cessation/Reduction Symptoms,Sleep Changes,Substance Disorder
Abstinence From Opioid,Sleep Changes,Insomnia,Substance Disorder
"Sedative, Hypnotic Or Anxiolytic Use Disorder","Sedative, Hypnotic Or Anxiolytic Use Disorder",Problematic Pattern Of Sedatives/Hypnotics/Anxiolytics Use,Substance Disorder
"Sedative, Hypnotic Or Anxiolytic Use Disorder",Problematic Pattern Of Sedatives/Hypnotics/Anxiolytics Use,Consumption Of Sedatives/Hypnotics/Anxiolytics In Larger Quantities,Substance Disorder
"Sedative, Hypnotic Or Anxiolytic Use Disorder",Problematic Pattern Of Sedatives/Hypnotics/Anxiolytics Use,Desire To Decrease/Control The Use Of Sedatives/Hypnotics/Anxiolytics,Substance Disorder
"Sedative, Hypnotic Or Anxiolytic Use Disorder",Problematic Pattern Of Sedatives/Hypnotics/Anxiolytics Use,Unsuccessful Efforts To Decrease/Control The Use Of Sedatives/Hypnotics/Anxiolytics,Substance Disorder
"Sedative, Hypnotic Or Anxiolytic Use Disorder",Problematic Pattern Of Sedatives/Hypnotics/Anxiolytics Use,Large Amount Of Time In Obtaining/Use/Recovering From Sedatives/Hypnotics/Anxiolytics Consumption,Substance Disorder
"Sedative, Hypnotic Or Anxiolytic Use Disorder",Problematic Pattern Of Sedatives/Hypnotics/Anxiolytics Use,Strong Desire/Urge To Use Sedatives/Hypnotics/Anxiolytics,Substance Disorder
"Sedative, Hypnotic Or Anxiolytic Use Disorder",Problematic Pattern Of Sedatives/Hypnotics/Anxiolytics Use,Inability To Meet Work/School/Home Obligations,Substance Disorder
"Sedative, Hypnotic Or Anxiolytic Use Disorder",Problematic Pattern Of Sedatives/Hypnotics/Anxiolytics Use,Continued Use Of Sedatives/Hypnotics/Anxiolytics Despite Knowing Persistent/Recurring Social/Interpersonal Problems,Substance Disorder
"Sedative, Hypnotic Or Anxiolytic Use Disorder",Problematic Pattern Of Sedatives/Hypnotics/Anxiolytics Use,Decreased Participation In Social/Occupational/Recreational Activities,Substance Disorder
"Sedative, Hypnotic Or Anxiolytic Use Disorder",Problematic Pattern Of Sedatives/Hypnotics/Anxiolytics Use,Recurrent Use Of Sedatives/Hypnotics/Anxiolytics In Dangerous Situations,Substance Disorder
"Sedative, Hypnotic Or Anxiolytic Use Disorder",Problematic Pattern Of Sedatives/Hypnotics/Anxiolytics Use,Continued Use Of Sedatives/Hypnotics/Anxiolytics Despite Knowing Persistent/Recurring Psysical/Psychological Problems,Substance Disorder
"Sedative, Hypnotic Or Anxiolytic Use Disorder",Problematic Pattern Of Sedatives/Hypnotics/Anxiolytics Use,Increased Need For Sedatives/Hypnotics/Anxiolytics To Achieve Intoxication,Substance Disorder
"Sedative, Hypnotic Or Anxiolytic Use Disorder",Problematic Pattern Of Sedatives/Hypnotics/Anxiolytics Use,Decreased Effect With Continued Use Of The Same Amount Of Sedatives/Hypnotics/Anxiolytics,Substance Disorder
"Sedative, Hypnotic Or Anxiolytic Use Disorder",Problematic Pattern Of Sedatives/Hypnotics/Anxiolytics Use,"Abstinence From Sedatives, Hypnotics Or Anxiolytics",Substance Disorder
"Sedative, Hypnotic Or Anxiolytic Use Disorder",Problematic Pattern Of Sedatives/Hypnotics/Anxiolytics Use,Use Of Sedatives/Hypnotics/Anxiolytics To Relieve/Avoid Withdrawal Symptoms,Substance Disorder
"Intoxication By Sedatives, Hypnotics Or Anxiolytics","Intoxication By Sedatives, Hypnotics Or Anxiolytics",Recent Sedatives/Hypnotics/Anxiolytics Consumption,Substance Disorder
"Intoxication By Sedatives, Hypnotics Or Anxiolytics","Intoxication By Sedatives, Hypnotics Or Anxiolytics",Attitudes/Behaviors,Substance Disorder
"Intoxication By Sedatives, Hypnotics Or Anxiolytics","Intoxication By Sedatives, Hypnotics Or Anxiolytics",Sedatives/Hypnotics/Anxiolytics Symptoms,Substance Disorder
"Intoxication By Sedatives, Hypnotics Or Anxiolytics",Attitudes/Behaviors,Inappropriate Sexual Behavior,Substance Disorder
"Intoxication By Sedatives, Hypnotics Or Anxiolytics",Attitudes/Behaviors,Mood Lability,Substance Disorder
"Intoxication By Sedatives, Hypnotics Or Anxiolytics",Attitudes/Behaviors,Impaired Judgment,Substance Disorder
"Intoxication By Sedatives, Hypnotics Or Anxiolytics",Sedatives/Hypnotics/Anxiolytics Symptoms,Slurred Speech,Substance Disorder
"Intoxication By Sedatives, Hypnotics Or Anxiolytics",Sedatives/Hypnotics/Anxiolytics Symptoms,Alterations In Movement,Substance Disorder
"Intoxication By Sedatives, Hypnotics Or Anxiolytics",Alterations In Movement,Incoordination,Substance Disorder
"Intoxication By Sedatives, Hypnotics Or Anxiolytics",Alterations In Movement,Unstable Gait,Substance Disorder
"Intoxication By Sedatives, Hypnotics Or Anxiolytics",Alterations In Movement,Nystagmus,Substance Disorder
"Intoxication By Sedatives, Hypnotics Or Anxiolytics",Sedatives/Hypnotics/Anxiolytics Symptoms/Signs,Attention/Memory Deficit,Substance Disorder
"Intoxication By Sedatives, Hypnotics Or Anxiolytics",Sedatives/Hypnotics/Anxiolytics Symptoms/Signs,Numbness,Substance Disorder
